ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
5.558705339007662,-72.92434089261121,0.2341372770410654,0.6660790297268707,-1.2504351930273827,0.3164736,0.33470038,,19.583895,20.092237,19.055511,1.036726
5.323826611218503,-72.89546404188846,0.2220615941048374,0.5475493769360741,-0.864200425259454,0.20715603,0.24284466,,19.059027,19.46551,18.482935,0.98257446
6.249063275166577,-72.9962073739004,0.228062978150385,1.391123658341067,-1.1903046324046376,0.3814333,0.4047589,,19.998568,20.164387,19.290567,0.87381935
5.892136358196422,-73.00658331784848,0.2536683990399637,0.9391246660719929,-0.8806817434675424,0.37424266,0.51390725,,19.896385,19.975725,19.710165,0.26556015
6.825052869929563,-72.86974199739294,0.2144149639213842,0.2510518800936564,-0.8829407673138655,0.2684741,0.28877392,,19.515327,19.943457,18.817019,1.1264381
5.92094619258938,-72.82583855838335,0.2097732075257991,2.186273799194205,-1.6104128823241788,0.533173,0.5766095,,20.277626,20.650951,19.706636,0.94431496
5.804295159723682,-73.98587759859852,0.2152878595749758,0.8775911754566527,-1.2080249210585563,0.25089994,0.23184599,,19.430317,19.887371,18.905167,0.98220444
5.981497680767162,-73.94838669281397,0.2037484012398685,0.1310186252324706,-1.2009447713528625,0.2929354,0.26413903,,19.495787,20.06079,18.911915,1.1488743
6.6359563653012845,-73.9889991242034,0.2433427777906793,0.988752220647284,-1.6555908795668397,0.27721933,0.26984075,,19.389242,19.748447,18.747208,1.0012398
6.840059313088966,-73.96144376720575,0.2094308255855211,0.4089183932443591,-1.7167563962653942,0.2264049,0.23611379,,19.299212,19.832691,18.770973,1.061718
6.8991467531159,-73.93782149359897,0.2272033805836089,0.5867341765829879,-1.6545184400839752,0.16866444,0.16162269,,18.72553,19.21335,18.044298,1.1690521
6.34262652254341,-73.97705628660098,0.2507726359248258,0.3366736260207104,-1.2225754952247865,0.23687442,0.22772756,,19.256577,19.673992,18.698404,0.97558784
6.561754326044552,-73.92453469574141,0.2209412668954569,0.4276813120902942,-0.8061504189477036,0.254671,0.2590043,,19.299694,19.825237,18.797096,1.028141
6.843008476416796,-73.90385920340175,0.2116815779195955,-0.409303222614326,-0.8319042115232596,0.20428133,0.17542143,,18.880726,19.26463,18.338758,0.9258709
6.466237931331595,-73.89305251684499,0.2514337355763924,0.8395906839117768,-1.2026186886977075,0.4602475,0.43126026,,20.043861,19.968292,20.082848,-0.11455536
6.870389624148348,-73.80510002818718,0.2583354978355643,0.4398861001674161,-1.3658663481031263,0.14399204,0.13671726,,18.512215,19.06418,17.88608,1.1781006
6.834834620329914,-73.77515722463453,0.2423382999076483,0.3205668589023514,-2.0070902939751325,0.25260708,0.22512573,,19.25575,19.696077,18.683258,1.0128193
5.012854959782909,-73.9469163945237,0.2196761936840575,0.5666347404102581,-1.3010791650074682,0.17426987,0.19550896,,18.953209,19.450083,18.419956,1.0301266
5.8637097171970805,-73.88496667868127,0.2125285936853446,0.4247845300295643,-0.877005213640002,0.24858136,0.24580933,,19.430443,20.021984,18.870401,1.1515827
6.103845484650128,-73.86697563157917,0.2442700254009541,1.1513459510259416,-1.2664819867423212,0.524941,0.49154815,,20.305824,20.42436,20.313278,0.11108208
6.0740250993828,-73.86185083351933,0.2489829257826686,4.652335227374995,2.1982312938018644,0.084694065,0.08124195,,17.550432,17.907385,17.037601,0.8697834
5.857059540659765,-73.86201411961201,0.2572420656397494,0.5938689402745743,-0.819107878527258,0.68839353,0.63186866,,20.564238,20.82445,20.455235,0.369215
6.065800595075566,-73.79752436861857,0.2214958905126864,0.1003867875024906,-1.6863488430607203,0.245134,0.21456614,,19.18216,19.602657,18.539858,1.0627995
5.463162308063273,-73.8565852620148,0.2259911038717499,0.8185416646785709,-1.4200485177305124,0.19725753,0.19999136,,19.13082,19.640709,18.611689,1.0290203
5.543406233137543,-73.80832929266285,0.2206947265670339,0.2575225643183237,-1.4045499402032626,0.49466497,0.48364544,,20.149347,20.625883,19.655293,0.9705906
5.693998416220196,-73.82642654836003,0.2242486181065299,0.3626127344784399,-1.124996716783237,0.26761657,0.24840245,,19.397833,19.538906,18.464258,1.0746479
5.754288864587678,-73.78764410137502,0.2124435228873463,0.5707107946396224,-1.038080598750894,0.13652019,0.12427402,,18.36319,18.911215,17.688505,1.2227097
