ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise
6.94615976546071,-73.12824756202559,0.20747656051260532,0.8293247145604082,-1.9624549447387003,0.22344111,0.22228222,,19.290241,19.732967,18.747568,0.98539925,1.1762443,29.89148,36.80513,0.4697469
6.192967317130757,-73.25002014002538,0.2080213931880916,0.63860089236816,-1.0919303652912535,0.33492607,0.34129128,,19.687695,19.82635,19.738867,0.08748245,1.0398285,28.670435,12.78229,0.0
5.951591379158613,-73.23513513136044,0.20219745166397807,0.1335493314519814,-1.1587964314880985,0.26296055,0.26647776,,19.333797,19.782526,18.814377,0.9681492,1.1588805,28.586422,38.721123,0.1678034
6.281620724500506,-73.08422641646668,0.2286537987124133,0.6849789248028045,-1.3286514225430552,0.23761109,0.25431213,,19.207695,19.611568,18.638512,0.9730568,1.210968,33.820602,36.365665,0.66117746
6.478666382868786,-73.08500797020523,0.23324988094097476,0.375963219065431,-1.66828291197682,0.32100162,0.27978227,,19.570513,19.626152,19.683458,-0.05730629,1.0683371,30.482548,18.247082,0.0
6.533145316540932,-73.0759255681916,0.2484524887023513,1.1437427951828107,-1.5911949160563845,0.28269818,0.27725452,,19.596064,20.044003,18.957087,1.086916,1.2382919,24.197514,38.286533,0.29427543
6.6979881430917905,-73.00785713327136,0.2564035404392982,-0.02381619805368171,-2.023801915038319,0.6891168,0.7698871,,20.390182,20.714762,19.897572,0.8171902,1.2004285,9.245207,8.729626,0.0
6.7105731586708925,-73.00381248202874,0.2591104164232395,1.8116955270376043,-2.1477189803915335,1.7525017,2.3182294,,20.836126,21.010857,21.064066,-0.053209305,0.95863855,4.500787,5.051931,5.7589545
6.77883226987279,-72.98676198886507,0.24554411202441478,1.2975697176097838,-2.52183784632525,1.0444566,1.0603604,,20.754696,20.896206,20.65328,0.24292564,1.0987436,6.063515,5.6756387,2.0021422
6.8385423525257965,-73.04876621185296,0.21428359369523714,0.6578693655215357,-1.275514598446546,0.30729228,0.28343394,,19.618555,20.12817,19.027325,1.1008453,1.179159,19.50578,38.29886,0.0
5.980257503999136,-73.91466523053188,0.24231442899333352,0.8658503587185793,-1.1627535717280097,0.29783237,0.2957628,,19.662962,20.086658,19.06749,1.0191689,1.2193496,20.0065,38.255642,0.3159323
6.454551653641995,-73.91379654419625,0.23131980197123858,16.36361134773213,-3.250196451193137,0.60289395,0.57185596,,20.062838,20.388533,18.991173,1.3973598,1.6667484,14.310069,30.701828,3.117243
6.894503377414403,-73.89148980473988,0.23642550089627204,0.21911370215842493,-1.429018008251694,0.43268588,0.43190545,,19.926504,19.903065,19.928417,-0.025352478,1.1612371,39.053528,14.300453,1.4039171
6.979287105747131,-73.83503169719752,0.2077043682342556,0.34933907824322097,-1.7861753801075606,0.22011313,0.20640087,,19.062027,19.539017,18.514366,1.0246506,1.1644518,45.742638,59.02023,0.0
6.3347491817596415,-73.90243127434904,0.2117919377860037,0.6691493452522534,-0.40344305588491414,0.7731615,0.6855469,,20.558022,20.732376,19.952156,0.78022003,1.3530864,8.298978,8.719094,1.3766742
6.483489586448723,-73.86198575962416,0.25487862318703636,1.6195441040928762,-1.560077995401734,0.478064,0.40664357,,20.033506,20.29028,19.470665,0.8196144,1.2793628,9.140799,16.386566,0.191908
6.308203577203761,-73.87536663336732,0.23508714799093058,0.5778005700282347,-1.427341344298116,0.62308764,0.6927976,,20.370815,20.661871,20.21533,0.44654083,1.0404289,13.935762,11.27571,1.0914147
6.481512059474145,-73.82644561390005,0.24266021758271122,0.4565167378843693,-2.6018861480420585,0.16110961,0.15788253,,18.315428,18.709988,17.613567,1.0964203,1.3076934,83.64515,133.4239,0.96584845
6.499620831010134,-73.81342030816296,0.21423072157653955,0.4089942956679862,-1.1518790739920473,0.25994167,0.25592443,,19.289341,19.768927,18.72686,1.0420666,1.1729171,40.391182,58.70656,0.0
6.720317604725092,-73.81856668618751,0.257369319032514,-0.022538940893930298,-1.143950766605164,0.68911934,0.71522856,,20.532335,21.166977,20.219345,0.94763184,0.9657907,6.4311547,9.28438,1.558161
6.756638666138124,-73.77809850880062,0.22029782567661174,0.7552954824117282,-1.6593682886092564,0.9066476,0.7698239,,20.561617,20.561907,20.45274,0.1091671,1.1903584,14.2763195,10.709678,0.0
5.030747218300766,-73.91921562405079,0.2138023944794345,0.5919300084528112,-1.7164555422276853,0.36484066,0.4277161,,19.916975,19.97211,19.969048,0.003063202,1.0905323,25.990616,15.129489,0.0
5.820893697448064,-73.88136019726421,0.2349329013646464,0.5417003156034594,-1.3219258506209772,0.2636698,0.2699954,,19.500364,19.99477,18.886568,1.108202,1.2007968,21.205032,34.606567,0.0
5.806419615435717,-73.85455904193785,0.2091206075130825,0.3653851242637248,-0.48127933679157464,0.80095136,0.91149175,,20.606054,20.652967,20.326164,0.3268032,1.2392644,10.723037,8.410977,0.0
5.872578050806607,-73.83027740619988,0.23394640222731833,0.5568167585608723,-1.2192750907184573,0.20410079,0.19413044,,18.94839,19.444883,18.36784,1.0770435,1.1775699,37.71259,73.6827,0.6402609
5.303258305739732,-73.86108838953226,0.21516468079084067,-0.7073626559228898,-1.8666394153296064,0.7790756,0.7619981,,20.604706,20.471071,20.11815,0.35292053,1.4791287,15.809314,13.416988,0.0
5.22318172539551,-73.84972371031184,0.2161726794007306,0.08872023789297329,-1.7770722283673746,0.17658012,0.17507373,,18.843044,19.32584,18.21174,1.1140995,1.2177849,45.09291,68.76346,0.291
5.643413061861031,-73.78077800298522,0.21133018109257035,0.6211658285723681,-1.0174112406389815,0.3895753,0.36360684,,19.90426,20.132215,19.369677,0.7625389,1.2766014,25.312483,25.176378,0.0
5.238617824688104,-73.83529897496337,0.2539864881880792,0.3484719473384914,-0.9757299352561307,0.19556926,0.20476703,,19.054987,19.128204,19.051596,0.07660866,1.1001763,58.22494,28.781042,0.0
5.176516508066668,-73.82104278581784,0.20247311070915677,-1.9099895304134291,-7.750725433996466,0.15459576,0.15747769,,18.690063,18.953804,18.241173,0.7126312,1.2052726,40.708588,47.503296,0.0
5.372102466658832,-73.77972634471664,0.20919957122872673,1.2006880368263781,-1.3063475507744646,0.4394807,0.47431555,,20.097069,20.53297,19.447367,1.0856037,1.2511693,10.20111,21.322124,0.0
5.6044542837726565,-73.76306700022822,0.2053372356160893,-0.6630373727655012,-1.1896248809229684,0.39670423,0.35868827,,19.90681,20.391685,19.385283,1.006403,1.1444926,17.100224,23.889433,0.0
5.2437646349937825,-73.71162823177634,0.24557983243127213,0.2624500712592277,-0.9398687932328994,0.25088713,0.25043797,,19.25739,19.696003,18.651218,1.0447845,1.2198648,36.809456,50.94817,0.0
5.222062979934146,-73.67051755923055,0.2036496378924842,0.5013376206753293,-1.3293541827148014,0.25061306,0.2446272,,19.328054,19.905563,18.697762,1.2078018,1.178247,24.456488,48.709618,0.0
5.379595345156436,-73.6327215508879,0.25317842699902543,0.06919073043513077,-1.0160048660107004,0.40552548,0.34137392,,19.549088,20.124851,18.932085,1.1927662,1.1697824,23.554483,43.017067,0.906986
5.657456166022521,-73.65666406311651,0.2102811499780008,0.6771917910481765,-1.2453466974111111,0.2718844,0.2384385,,19.363768,19.784672,18.781353,1.0033188,1.2119052,33.535973,45.547363,0.0
6.4622658836086915,-73.78877128787838,0.25175463751067556,0.09134810102126964,-1.0829602017171722,0.27196592,0.26664028,,19.485603,20.054615,18.969053,1.0855618,1.1067803,19.162024,39.341248,0.21792746
6.778037734815019,-73.70162090233411,0.205966370485223,0.5407531776389893,-1.875488688036565,0.42206675,0.3618943,,19.850983,19.835289,19.787268,0.048021317,1.182152,38.600067,18.245365,0.7447274
6.87097145678947,-73.69597179225808,0.21168042772259038,0.6099289821526757,-1.6025147598766591,0.7495839,0.7586132,,20.399105,20.505796,20.469341,0.036455154,1.0519085,19.355944,12.754275,0.0
6.204838874394999,-73.74693428111226,0.21505371139364993,0.3506658432152684,-1.5445643093646853,0.19787847,0.18171181,,18.86509,19.41652,18.188017,1.2285023,1.221722,48.610546,73.74992,0.58685106
6.207232210793456,-73.73876743417811,0.20923052022169422,-1.3614621158334574,-2.7002856826165087,0.81958914,0.79126304,,20.59722,21.03761,20.487444,0.5501652,0.9491246,11.983064,9.454219,0.0
6.273615457628664,-73.70363431714127,0.2537174750750085,-0.4573411100724385,-1.4917095580207878,0.32139534,0.29637167,,19.35193,19.04077,18.354239,0.68653107,2.0209916,35.29625,45.12974,0.4638787
6.739034615020131,-73.57944317722617,0.24286445856020608,0.2857619224207068,-1.213744750036976,0.34825483,0.2989742,,19.449574,19.453161,19.49793,-0.044769287,1.1254228,44.886093,23.123991,0.48159462
6.901027044501892,-73.56452745846691,0.2523227252748902,-0.5684993910724755,-1.2301757843009267,0.28753307,0.27987176,,19.397188,19.79641,18.823376,0.9730339,1.2161533,38.188576,59.883953,0.78628695
6.840594097849909,-73.5647498297484,0.24383099649847714,0.6578122564369094,-1.7856226568279323,0.21548171,0.20544457,,18.991669,19.00652,19.188574,-0.18205452,1.0664834,51.25788,35.479343,0.0
6.20923121369608,-73.57093672351836,0.2233940423539865,1.9754019030652321,-2.052951132771844,0.76914537,0.5011866,,20.187279,20.613224,19.80759,0.80563354,1.0870359,11.941994,13.919739,0.0
6.573220608460756,-73.52220805976339,0.23165488878527324,0.09815772011625792,-1.2698822534622318,0.32625923,0.24084409,,19.161228,19.555872,18.549978,1.0058937,1.2433246,37.239662,46.8115,0.8848595
6.785416171222269,-73.424639344944,0.218760744835708,0.4610314958723215,-1.1608462889990738,0.10833832,0.092024595,,17.619991,17.904213,17.171026,0.7331867,1.1946888,97.00151,178.48415,0.0
6.80003515231515,-73.37518232348472,0.24493442355412337,0.9165103216433677,-1.4202210099646133,0.5977295,0.49334148,,20.15159,20.4368,20.22375,0.21305084,0.9515481,16.664007,13.527439,0.0
6.995500274966316,-73.3243043309724,0.2372567639624287,0.5073291961616202,-1.2168469692295338,0.15318882,0.13280897,,18.347527,18.855335,17.720337,1.1349983,1.2043488,64.37486,108.19879,0.27913508
5.225757122076237,-73.5803850476327,0.24477237016019976,0.08795454943460301,-1.1244032799327137,0.32440183,0.2456443,,19.121542,19.550755,18.60066,0.9500942,1.1684964,23.99383,45.168037,0.0
5.550594027962476,-73.5464191268488,0.22909424560908292,0.7738923610129506,-1.1914765413495756,0.5963536,0.4500049,,19.913488,20.161213,19.378468,0.78274536,1.2662729,13.554616,18.759058,0.47591066
5.80191642564129,-73.52339844663166,0.20836488997086472,1.4879793217284552,-1.2761022989367,0.8605355,0.666359,,20.361351,,,,,,,0.0
5.170674868509108,-73.5594009410324,0.2079230504579052,0.4011969676292453,-0.8134428721782591,0.2802724,0.32826006,,18.760744,,,,,,,0.41568685
5.380156899581011,-73.42728207887802,0.22999102330957175,1.044749264120576,-0.28336020330246414,0.91612315,0.8037915,,20.465488,20.440325,20.662397,-0.2220726,1.0933394,11.649984,8.197556,0.0
5.827274488967335,-73.42608828006885,0.24941645119068753,0.3945178134859553,-1.398836136759434,0.18040432,0.1562577,,18.622902,18.988739,17.872522,1.1162167,1.3579295,25.215973,63.765484,0.4062895
5.815294699051657,-73.35323199575528,0.20203252386758863,1.6607010674508558,-1.6109646844305963,0.34108934,0.2294025,,19.245913,19.772104,18.61996,1.1521435,1.1958672,18.057587,53.573856,0.0
5.099175753748411,-73.44676305361506,0.22342319639819197,9.05593511675529,-2.1642233365336443,0.32615572,0.27308592,,19.321747,19.897131,18.559235,1.3378963,1.2764933,21.355427,48.720375,0.0
5.147274558249267,-73.39432931536766,0.2412682055162787,-0.4336140354400384,-1.454602514571907,0.69292593,0.6406195,,20.242743,20.80971,19.632502,1.177208,1.1686401,11.886692,14.246843,0.0
5.722341322881845,-73.34856124416265,0.22134405475861615,0.2755768918332176,-0.7306368368682074,0.2593247,0.24340479,,19.194601,19.606546,18.621935,0.9846115,1.2095501,24.185797,48.39937,0.3694072
